bits,p,a,b,px,py,qx,qy,expected,provided,success,elapsed_seconds,one_cycle_iteration_count
34,11588705959,8240746988,4056145704,8647813831,5959637265,10817501284,8935732722,7079048535,7079048535,True,4.245385,215300
34,10839504259,3446216664,4503644744,3342372556,1961528525,100173420,4490890208,2355036936,2355036936,True,4.720094,208224
34,15825154811,6436716831,13405296867,8403071072,254279941,3950349114,582211616,1497251210,1497251210,True,0.337648,251596
34,15370411033,4934353984,11359252247,10176701961,11181847777,5054015208,5576656250,5021554076,5021554076,True,4.611125,247954
35,21255406259,2146584331,9631848117,17282013236,20470188167,4375738742,16491011801,19269998784,19269998784,True,4.769994,291584
35,25934377613,9762351991,1814943168,23370200133,1970631188,18788022400,1543786023,3929724618,3929724618,True,4.937518,322082
35,25355507357,8360924938,10927840754,5526845088,16679896159,18139083326,14399991142,7836778587,7836778587,True,0.860994,318468
35,20926927013,12349462818,18085487048,7596727568,3282840212,17396289097,19766933576,1747560358,1747560358,True,7.357009,289322
35,20082143933,10237331300,17319125820,14445422360,3556221053,2788915491,3056168396,5450989375,5450989375,True,1.626539,283422
35,19106036251,15205281642,8647473642,12808472246,12197954237,207226229,9340608459,8238486209,8238486209,True,1.478335,276448
35,18310316179,700781305,5634676415,12446215881,14637533895,17232352355,16143435639,65123527,65123527,True,4.444366,270630
35,17439197393,9252523345,10940534935,179055257,13227498801,6694556258,16179249317,14680711170,14680711170,True,2.118256,264114
35,33404378083,8179557873,13296512224,12083776138,100812805,9835365846,919211346,29174454388,29174454388,True,10.604757,365536
35,21641303413,7656514013,6613483277,14833008572,17841961420,3242461752,20903886171,3946612077,3946612077,True,10.335980,294218
36,35596160953,1659943105,10132135506,9393325481,9567055640,12214827996,20563823569,3201084539,3201084539,True,1.268547,377338
36,66956438693,61349675032,40281058052,53996605596,26861716658,15354189967,1370183876,17438280172,17438280172,True,2.383164,517518
36,66071106307,9425827733,26654072692,46775771857,23485329193,62739723701,53299853379,2726404781,2726404781,True,1.210601,514086
36,34911532699,32656783728,12999692149,18581633068,32293992782,9753142197,1907460243,1745639637,1745639637,True,0.807774,373692
36,58636887733,56860105729,46470416103,7148752431,29256061765,51862043773,1633781967,3343820116,3343820116,True,1.058613,484300
36,51743822719,3249494351,47581794584,35163572126,38457302827,6558318265,7955800150,28279978148,28279978148,True,6.081351,454944
36,53214757777,30752403285,12701887969,37766195239,27523630716,16952887668,40327104722,63972883,63972883,True,1.065178,461366
36,58921472761,34666581684,22798792514,28020150342,11081984037,30981065619,16446690944,5079897798,5079897798,True,29.822531,485474
36,65520026659,46328183702,7094218847,36671947540,38402516681,27799003216,8345732319,32859661056,32859661056,True,6.224270,511936
36,52786519501,26043612264,37041122841,36776953892,8652211500,22872429043,42886665070,3667208788,3667208788,True,1.573270,459506
37,103600253749,29731937383,84402447690,1313174935,37679249001,37478396110,43372101463,44979853519,44979853519,True,2.253903,643738
37,94496356021,66772562891,62028667397,29382447461,68171693115,26132212479,67166865883,15563893871,15563893871,True,1.852416,614804
37,77462402027,58726232466,71395572051,25909488542,48288246162,45062010234,76865153655,23195078617,23195078617,True,1.306972,556640
37,87424663451,27069716531,51317303669,27679143240,29160112404,58327345754,13076307854,28540451468,28540451468,True,5.502629,591352
37,102703581817,101448812582,29980602288,61925507481,94669079159,88370848217,27739149226,11421253779,11421253779,True,5.839915,640946
37,96617778853,59397654459,44496357156,27636859190,62070074084,44977208622,13324132880,40142553331,40142553331,True,3.675188,621668
37,109596329393,45192688980,65166377612,23852145742,64322670383,99096978739,17811828540,285640869,285640869,True,2.809653,662106
37,99241796327,37637038431,32425916390,43627490355,18254177401,51995536013,52997093575,3339588461,3339588461,True,1.470618,630052
37,100550134523,16766006562,35709233918,56308606124,73415529655,19582893490,34362252494,41176055340,41176055340,True,4.604985,634192
37,85011529013,29474993054,47825273760,83996848730,27493004434,46688596393,29204708490,42657320314,42657320314,True,6.330084,583134
38,205588258819,196758395540,152439646838,25040447944,104677559732,154639042821,159481516976,90604700740,90604700740,True,60.442443,906836
38,188709054959,91086611869,169776932985,139555663883,178515147272,32514414428,172586336731,71041589435,71041589435,True,8.940178,868812
38,252064242943,60972169983,103275044010,221985711085,194432209037,138453409706,91174718646,17264288710,17264288710,True,5.683730,1004118
38,227627610449,84493644413,82964319289,77158318715,158054527823,194459229915,96637794242,48107525399,48107525399,True,8.725039,954206
38,269180707487,54077771796,190934157261,17771921571,208513138854,150231022948,71103348077,187404292990,187404292990,True,20.062202,1037652
38,209945786789,74046740355,194294628483,19897569732,188451407327,25681458635,162542433599,49391779453,49391779453,True,25.955302,916396
38,174117831991,154772086770,106538551130,55095014188,124635003328,117643161147,89172080792,167521714083,167521714083,True,14.005302,834548
38,235402662479,41971359691,111032031118,167279376995,117739866318,213879579828,9164701587,24930844092,24930844092,True,6.020389,970366
38,166488250853,133852580910,34555759113,10729124308,127371508722,165479578673,139464276137,47222018603,47222018603,True,4.698140,816058
38,271538224303,169812443175,95906436725,240072396469,47178807834,249845106790,187884671660,8913945305,8913945305,True,7.584304,1042186
39,416757796561,290526200314,355526643801,216803668537,391432313063,105318463066,116290495271,155505184144,155505184144,True,4.358757,1291134
39,284748066067,67789159095,22885051703,224214077414,101688366385,147330421741,77243150682,108088123759,108088123759,True,5.172482,1067234
39,460855063043,314431330370,417412005036,98450930445,426378642365,319908096604,80611125549,207361802474,207361802474,True,7.139751,1357726
39,338955792893,282838930551,225508900856,233913586949,253426898727,73426482824,93216689722,168822570865,168822570865,True,16.352463,1164398
39,525947265229,88419223284,404006748024,486911703968,238238668413,119719660077,340788754492,93343993859,93343993859,True,15.590900,1450444
39,540676932643,111653176348,258615068299,490773215042,166029801182,431086883059,461359030701,225456059506,225456059506,True,13.513826,1470614
39,532813850021,187832289114,355081034558,161781225083,451775958905,199110601996,417781447052,3108347095,3108347095,True,21.448166,1459880
39,442091496541,76293233470,152937761336,180432876087,242206589510,286251520852,279108824654,191990605633,191990605633,True,4.611435,1329798
39,546957812161,24733912047,235995777038,242643638439,542305218401,425387217044,214090534942,39316309538,39316309538,True,3.249213,1479130
39,447109527643,112979262543,335075998107,144334868998,92722433916,6380642871,112253537235,37275041232,37275041232,True,11.125338,1337324
